epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.481,1.18233,4.49975,1.16352,0,0,0,0,0.94553,4.31235,0.95987,6.902e-05,6.902e-05,6.902e-05
2,398.321,0.91928,3.99212,0.99286,0.07463,0.55673,0.13088,0.11314,0.69101,3.98231,0.87023,0.00013764,0.00013764,0.00013764
3,650.813,0.80461,3.44729,0.96983,0.65225,0.21903,0.31781,0.27156,0.62415,3.28076,0.87432,0.000203432,0.000203432,0.000203432
4,922.377,0.76883,2.81509,0.97967,0.50253,0.47925,0.51415,0.44596,0.5952,2.47939,0.87732,0.000223863,0.000223863,0.000223863
5,1147.69,0.72718,2.2792,0.99768,0.53533,0.74738,0.69824,0.61922,0.56366,1.85825,0.91933,0.00021915,0.00021915,0.00021915
6,1376.43,0.72915,1.87449,1.01207,0.65081,0.8626,0.85785,0.76024,0.53012,1.50301,0.91602,0.000214438,0.000214438,0.000214438
7,1626.95,0.65485,1.5839,0.9754,0.76172,0.85887,0.91668,0.82137,0.50786,1.28589,0.90769,0.000209726,0.000209726,0.000209726
8,1860.89,0.62612,1.35185,0.95731,0.89856,0.91667,0.97229,0.85937,0.54055,1.0301,0.91486,0.000205013,0.000205013,0.000205013
9,2089.88,0.61093,1.18339,0.94953,0.94801,0.94818,0.99192,0.90989,0.45281,0.91354,0.8758,0.000200301,0.000200301,0.000200301
10,2321.19,0.57103,1.05633,0.93354,0.95022,0.96524,0.99135,0.90486,0.45113,0.78699,0.87717,0.000195588,0.000195588,0.000195588
11,2542.97,0.53549,0.94872,0.92643,0.95238,0.97651,0.99491,0.92217,0.41897,0.74644,0.87244,0.000190876,0.000190876,0.000190876
12,2784.14,0.52631,0.89707,0.91207,0.97189,0.97257,0.99481,0.91913,0.42261,0.68168,0.85561,0.000186164,0.000186164,0.000186164
13,3006.79,0.52292,0.86191,0.90709,0.9539,0.98813,0.99491,0.92151,0.40197,0.66519,0.84839,0.000181451,0.000181451,0.000181451
14,3214.77,0.52326,0.83207,0.90847,0.98064,0.98989,0.995,0.92409,0.41604,0.63287,0.85621,0.000176739,0.000176739,0.000176739
15,3465.4,0.50183,0.78162,0.89786,0.97909,0.98526,0.99491,0.93647,0.3674,0.59134,0.83797,0.000172026,0.000172026,0.000172026
16,3676.06,0.48523,0.76513,0.89027,0.98246,0.99476,0.99491,0.9503,0.33651,0.56586,0.82949,0.000167314,0.000167314,0.000167314
17,3904.01,0.46612,0.73833,0.89058,0.98024,0.99155,0.995,0.93983,0.34871,0.56982,0.82381,0.000162602,0.000162602,0.000162602
18,4127.11,0.45458,0.70951,0.88065,0.98301,0.99012,0.995,0.9459,0.33162,0.55211,0.81819,0.000157889,0.000157889,0.000157889
19,4369.71,0.45389,0.70658,0.87822,0.97966,0.99206,0.995,0.95103,0.32323,0.54386,0.82491,0.000153177,0.000153177,0.000153177
20,4593.54,0.47046,0.71737,0.89038,0.97607,0.99499,0.995,0.95172,0.31816,0.54494,0.82074,0.000148464,0.000148464,0.000148464
21,4826.02,0.46635,0.69499,0.87883,0.98125,0.99035,0.99491,0.95411,0.30694,0.52442,0.81224,0.000143752,0.000143752,0.000143752
22,5098.49,0.46103,0.68159,0.87886,0.98638,0.99506,0.995,0.95905,0.29203,0.52025,0.81291,0.00013904,0.00013904,0.00013904
23,5363.5,0.42029,0.65924,0.8677,0.98037,0.99206,0.995,0.95069,0.31611,0.51548,0.81521,0.000134327,0.000134327,0.000134327
24,5631.59,0.40788,0.64749,0.86764,0.98566,0.99207,0.995,0.95566,0.30197,0.51093,0.80535,0.000129615,0.000129615,0.000129615
25,5902.99,0.41538,0.63632,0.86614,0.98681,0.99059,0.995,0.95657,0.30034,0.50138,0.80512,0.000124902,0.000124902,0.000124902
26,6165.64,0.41652,0.63541,0.86639,0.98385,0.99301,0.995,0.95535,0.28928,0.49919,0.80525,0.00012019,0.00012019,0.00012019
27,6362.85,0.41401,0.62634,0.86286,0.98784,0.99447,0.995,0.95739,0.29812,0.49345,0.80629,0.000115478,0.000115478,0.000115478
28,6559.69,0.40574,0.62337,0.86456,0.98152,0.99213,0.995,0.95888,0.29596,0.48935,0.80172,0.000110765,0.000110765,0.000110765
29,6755.93,0.39236,0.61998,0.85988,0.98932,0.99591,0.995,0.9668,0.25942,0.46391,0.79469,0.000106053,0.000106053,0.000106053
30,6957.44,0.39497,0.6228,0.8649,0.99038,0.99512,0.995,0.9668,0.26842,0.4625,0.79871,0.00010134,0.00010134,0.00010134
31,7162.82,0.39134,0.60368,0.86142,0.98612,0.9936,0.995,0.96303,0.27746,0.46974,0.79706,9.6628e-05,9.6628e-05,9.6628e-05
32,7364.78,0.37617,0.58356,0.85055,0.98569,0.99011,0.995,0.97584,0.25064,0.45124,0.79169,9.19156e-05,9.19156e-05,9.19156e-05
33,7561.58,0.37721,0.58935,0.85386,0.98746,0.99388,0.995,0.97395,0.24661,0.45871,0.78864,8.72032e-05,8.72032e-05,8.72032e-05
34,7756.31,0.36792,0.57558,0.85602,0.98763,0.99523,0.995,0.97783,0.24488,0.44027,0.78829,8.24908e-05,8.24908e-05,8.24908e-05
35,7956.98,0.37247,0.56623,0.84385,0.98807,0.99449,0.995,0.97401,0.24998,0.44859,0.78759,7.77784e-05,7.77784e-05,7.77784e-05
36,8158.63,0.3788,0.56736,0.85142,0.98938,0.99427,0.995,0.97299,0.24834,0.44972,0.78924,7.3066e-05,7.3066e-05,7.3066e-05
37,8351.75,0.36232,0.5732,0.85273,0.98637,0.99407,0.995,0.96762,0.26451,0.44298,0.79032,6.83536e-05,6.83536e-05,6.83536e-05
38,8545.15,0.36069,0.56171,0.84921,0.98889,0.99465,0.995,0.96123,0.28364,0.44296,0.79708,6.36412e-05,6.36412e-05,6.36412e-05
39,8740.6,0.35563,0.55829,0.85209,0.98893,0.9958,0.995,0.96683,0.26276,0.44197,0.79028,5.89288e-05,5.89288e-05,5.89288e-05
