epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,8934.66,0.36033,0.56449,0.85577,0.98973,0.99533,0.995,0.96954,0.25347,0.43587,0.7885,5.42164e-05,5.42164e-05,5.42164e-05
41,9125.19,0.30123,0.5204,0.82471,0.98735,0.99081,0.995,0.96574,0.27184,0.4589,0.79077,4.9504e-05,4.9504e-05,4.9504e-05
42,9319.04,0.29742,0.50984,0.82081,0.99037,0.99605,0.995,0.97225,0.25354,0.42393,0.78725,4.47916e-05,4.47916e-05,4.47916e-05
43,9504.48,0.29587,0.51046,0.81902,0.98729,0.99613,0.995,0.97965,0.23016,0.42764,0.78512,4.00792e-05,4.00792e-05,4.00792e-05
44,9696.58,0.28834,0.50037,0.82268,0.98713,0.99633,0.995,0.97881,0.22561,0.41744,0.78479,3.53668e-05,3.53668e-05,3.53668e-05
45,9896.13,0.28074,0.49514,0.81643,0.98996,0.99502,0.995,0.97373,0.23799,0.42094,0.78528,3.06544e-05,3.06544e-05,3.06544e-05
46,10089.8,0.27247,0.4871,0.81465,0.98955,0.99615,0.995,0.97894,0.2235,0.40666,0.78273,2.5942e-05,2.5942e-05,2.5942e-05
47,10285.2,0.27423,0.49357,0.81508,0.98922,0.99611,0.995,0.97688,0.22456,0.40813,0.78232,2.12296e-05,2.12296e-05,2.12296e-05
48,10473.1,0.26637,0.48125,0.8139,0.9907,0.99608,0.995,0.97619,0.22764,0.40565,0.78321,1.65172e-05,1.65172e-05,1.65172e-05
49,10671.3,0.26645,0.48647,0.81293,0.99162,0.99584,0.995,0.97798,0.22381,0.40285,0.78207,1.18048e-05,1.18048e-05,1.18048e-05
50,10873.1,0.26915,0.48227,0.81489,0.99151,0.9959,0.995,0.97527,0.22867,0.40298,0.78269,7.0924e-06,7.0924e-06,7.0924e-06
