epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9839.47,0.29993,0.5314,0.84028,0.98894,0.9888,0.99213,0.96595,0.24194,0.45538,0.78804,4.9504e-05,4.9504e-05,4.9504e-05
42,10071.5,0.30669,0.52092,0.84531,0.98905,0.9909,0.99266,0.97107,0.23779,0.43127,0.78865,4.47916e-05,4.47916e-05,4.47916e-05
43,10303.9,0.2971,0.51766,0.84097,0.98998,0.99474,0.99266,0.96907,0.24333,0.43088,0.7883,4.00792e-05,4.00792e-05,4.00792e-05
44,10552.6,0.28417,0.50187,0.83951,0.9911,0.99438,0.99266,0.96488,0.23972,0.42619,0.78786,3.53668e-05,3.53668e-05,3.53668e-05
45,10793,0.29016,0.49859,0.84138,0.99025,0.99033,0.99266,0.97047,0.24061,0.42535,0.78846,3.06544e-05,3.06544e-05,3.06544e-05
46,11064.8,0.29034,0.50584,0.84084,0.9898,0.98972,0.99213,0.97217,0.22857,0.4218,0.78609,2.5942e-05,2.5942e-05,2.5942e-05
47,11396.5,0.28499,0.50803,0.83561,0.98839,0.99443,0.9935,0.97105,0.2265,0.4189,0.78433,2.12296e-05,2.12296e-05,2.12296e-05
48,11649.7,0.27555,0.489,0.82899,0.99021,0.99448,0.99213,0.97739,0.22053,0.41596,0.78246,1.65172e-05,1.65172e-05,1.65172e-05
49,11873.4,0.28392,0.49346,0.83172,0.98952,0.99465,0.99266,0.97723,0.22094,0.41526,0.78254,1.18048e-05,1.18048e-05,1.18048e-05
50,12105,0.2715,0.48916,0.83146,0.98941,0.9942,0.99266,0.97285,0.22319,0.41448,0.78285,7.0924e-06,7.0924e-06,7.0924e-06
